user_id,subscription_type,subscription_date,amount_usd,is_trial
73240,Monthly,2024-03-01,4.99,False
1213,Monthly,2024-03-27,4.99,False
66590,Monthly,2024-02-29,4.99,False
6755,Monthly,2024-03-15,4.99,False
84063,Monthly,2024-02-26,4.99,False
74470,Yearly,2024-03-06,49.99,False
66063,Yearly,2024-06-12,49.99,True
38641,Yearly,2024-04-09,49.99,False
83480,Yearly,2024-02-13,49.99,False
64626,Monthly,2024-05-01,4.99,False
30111,Monthly,2024-06-20,4.99,True
65422,Monthly,2024-03-18,4.99,True
79657,Monthly,2024-03-30,4.99,False
1867,Monthly,2024-06-17,4.99,True
94479,Monthly,2024-04-19,4.99,True
85568,Monthly,2024-05-13,4.99,True
20063,Monthly,2024-02-26,4.99,True
72569,Monthly,2024-05-18,4.99,False
55324,Yearly,2024-01-26,49.99,False
4350,Yearly,2024-04-05,49.99,True
46170,Monthly,2024-02-16,4.99,False
98665,Monthly,2024-02-22,4.99,False
78210,Monthly,2024-03-19,4.99,False
94381,Monthly,2024-02-20,4.99,False
21000,Yearly,2024-05-07,49.99,True
89006,Monthly,2024-06-09,4.99,False
99220,Monthly,2024-04-17,4.99,False
32559,Monthly,2024-01-15,4.99,False
37495,Yearly,2024-05-18,49.99,True
91697,Yearly,2024-06-01,49.99,False
34342,Monthly,2024-03-30,4.99,False
44814,Yearly,2024-06-27,49.99,False
84822,Monthly,2024-02-28,4.99,False
92153,Monthly,2024-03-21,4.99,False
1902,Monthly,2024-03-25,4.99,True
65641,Monthly,2024-03-05,4.99,False
72747,Monthly,2024-04-14,4.99,False
21834,Monthly,2024-06-12,4.99,True
20505,Monthly,2024-03-02,4.99,False
66535,Monthly,2024-02-19,4.99,False
93613,Yearly,2024-02-11,49.99,False
55709,Yearly,2024-01-21,49.99,True
36749,Yearly,2024-02-16,49.99,False
46791,Monthly,2024-04-03,4.99,True
5973,Monthly,2024-06-17,4.99,False
19811,Monthly,2024-06-29,4.99,True
31564,Monthly,2024-05-13,4.99,False
4409,Monthly,2024-04-21,4.99,True
40776,Monthly,2024-05-12,4.99,False
78845,Monthly,2024-05-10,4.99,False
48980,Monthly,2024-04-10,4.99,True
68596,Monthly,2024-04-10,4.99,False
55121,Monthly,2024-03-08,4.99,False
30526,Monthly,2024-06-28,4.99,False
20908,Monthly,2024-05-29,4.99,False
26011,Yearly,2024-04-13,49.99,False
57137,Monthly,2024-05-03,4.99,True
55518,Monthly,2024-04-13,4.99,False
42687,Monthly,2024-01-13,4.99,False
79638,Monthly,2024-05-15,4.99,False
3420,Monthly,2024-06-16,4.99,False
67881,Monthly,2024-03-08,4.99,True
23355,Monthly,2024-04-01,4.99,False
83518,Yearly,2024-05-24,49.99,True
16099,Monthly,2024-05-29,4.99,False
69356,Monthly,2024-01-02,4.99,False
45080,Monthly,2024-05-29,4.99,False
46429,Monthly,2024-02-27,4.99,True
31493,Monthly,2024-05-21,4.99,True
68127,Monthly,2024-05-26,4.99,True
76393,Monthly,2024-02-19,4.99,False
91202,Monthly,2024-05-17,4.99,True
49231,Monthly,2024-02-19,4.99,True
99619,Monthly,2024-04-30,4.99,False
86316,Monthly,2024-05-30,4.99,False
35770,Monthly,2024-01-10,4.99,True
43042,Monthly,2024-01-18,4.99,False
7249,Yearly,2024-04-19,49.99,False
31587,Monthly,2024-05-19,4.99,False
12680,Monthly,2024-05-29,4.99,False
3894,Monthly,2024-01-15,4.99,False
47664,Yearly,2024-05-25,49.99,False
99518,Monthly,2024-04-09,4.99,False
97929,Monthly,2024-06-14,4.99,False
27790,Monthly,2024-03-05,4.99,True
77603,Monthly,2024-03-27,4.99,True
79438,Monthly,2024-05-23,4.99,False
44069,Monthly,2024-03-10,4.99,False
71664,Monthly,2024-06-22,4.99,False
29929,Monthly,2024-01-20,4.99,False
69309,Yearly,2024-02-28,49.99,False
67871,Monthly,2024-04-24,4.99,True
89138,Monthly,2024-03-21,4.99,True
9179,Yearly,2024-06-17,49.99,False
97325,Monthly,2024-01-11,4.99,True
40978,Monthly,2024-05-30,4.99,False
75487,Monthly,2024-01-17,4.99,True
62611,Monthly,2024-01-26,4.99,False
77146,Monthly,2024-01-22,4.99,False
65674,Monthly,2024-03-09,4.99,False
98329,Yearly,2024-02-27,49.99,False
35898,Monthly,2024-02-25,4.99,True
91531,Yearly,2024-03-28,49.99,False
12767,Monthly,2024-04-21,4.99,True
32002,Monthly,2024-01-04,4.99,True
8483,Monthly,2024-06-21,4.99,True
73400,Monthly,2024-01-30,4.99,False
79986,Monthly,2024-05-08,4.99,True
93395,Monthly,2024-02-17,4.99,True
18472,Monthly,2024-02-01,4.99,True
56855,Monthly,2024-04-20,4.99,False
22784,Monthly,2024-04-27,4.99,False
39966,Monthly,2024-01-23,4.99,False
96079,Monthly,2024-05-25,4.99,True
87160,Monthly,2024-01-18,4.99,True
70237,Monthly,2024-01-24,4.99,False
39712,Monthly,2024-04-23,4.99,True
97776,Yearly,2024-05-30,49.99,False
11964,Monthly,2024-02-26,4.99,False
46732,Monthly,2024-01-29,4.99,True
76628,Monthly,2024-03-11,4.99,False
43837,Monthly,2024-06-11,4.99,False
57452,Monthly,2024-05-11,4.99,False
68379,Monthly,2024-02-10,4.99,False
58692,Yearly,2024-04-30,49.99,False
38428,Monthly,2024-06-05,4.99,True
67271,Yearly,2024-06-11,49.99,False
74443,Yearly,2024-01-14,49.99,False
27998,Yearly,2024-04-19,49.99,True
92540,Monthly,2024-05-20,4.99,False
